scene_id,environment_seed,success_30000,coverage_30000,steps_30000,success_35000,coverage_35000,steps_35000,success_40000,coverage_40000,steps_40000
act-review-000,1895820736,True,0.9556256193087446,81,True,0.9573931193750795,102,False,0.8381982325334242,300
act-review-001,2077457867,False,0.6252426085113346,300,False,0.6127297509879368,300,False,0.6491858524869741,300
act-review-002,1387475476,True,0.9543619384859978,172,False,0.9311328739279472,300,True,0.9656931619652813,258
act-review-003,1178395058,False,0.8284266711408688,300,False,0.7455417655437635,300,True,0.9506204999851583,216
act-review-004,130771854,False,0.0,300,False,0.0,300,False,0.0,300
act-review-005,1248601064,True,0.9589934537169593,145,False,0.8767804873481836,300,False,0.9459321408418299,300
act-review-006,151654494,True,0.9548376717827948,106,True,0.95328506065748,130,True,0.9596826329631372,126
act-review-007,1227756520,True,0.956413366111229,132,True,0.9535230780237204,112,False,0.9378916389745183,300
act-review-008,289549218,True,0.9635464355035619,253,False,0.0,300,False,0.0,300
act-review-009,1270031553,True,0.952073390607962,210,False,0.736615277205204,300,False,0.0,300
act-review-010,1285312200,True,0.9662202679333386,132,True,0.9540409439627863,114,False,0.0,300
act-review-011,1020935418,True,0.952432831872158,82,False,0.9312479424451713,300,True,0.9525675757856088,79
act-review-012,2078630907,False,0.0,300,False,0.015188476790071945,300,False,0.0,300
act-review-013,1698512322,True,0.9546339011429416,125,False,0.8708039725898143,300,True,0.9521816629754358,124
act-review-014,521124457,False,0.8515430096048533,300,True,0.952014331969308,230,False,0.9386414513891338,300
act-review-015,2055943996,False,0.8556069575368374,300,True,0.95699580193205,151,False,0.9392265109832771,300
act-review-016,1928715917,False,0.8984361979316705,300,False,0.9255625135567208,300,True,0.9699799276885397,166
act-review-017,1663457050,False,0.16819781986261043,300,False,0.19057337661876644,300,False,0.007370490658853553,300
act-review-018,846135511,False,0.0,300,False,0.0,300,False,0.0,300
act-review-019,874809835,False,0.0,300,False,0.0,300,False,0.0,300
act-review-020,1920192043,False,0.8388571031085901,300,True,0.9678262668318153,112,False,0.9422670496034681,300
act-review-021,767777220,False,0.0,300,False,0.8861124025285807,300,True,0.9603669580766442,227
act-review-022,120482626,False,0.0,300,False,0.0,300,True,0.9606780701078694,227
act-review-023,245637698,False,0.9260943002887834,300,False,0.0,300,False,0.0,300
act-review-024,1685401140,False,0.0,300,False,0.0,300,False,0.0,300
act-review-025,943633367,True,0.9622426923807849,285,False,0.897301406126364,300,True,0.9557979912799106,185
act-review-026,1860090290,False,0.9122407852829951,300,False,0.8945572644914637,300,True,0.9556479977725929,141
act-review-027,268656694,True,0.9702090907358,161,False,0.0,300,False,0.9314632848755234,300
act-review-028,1907680819,False,0.9091614641581961,300,True,0.9631221983260919,134,False,0.9106756088908569,300
act-review-029,1256468456,True,0.954184626542701,173,False,0.8990757274558673,300,False,0.9079873235876447,300
act-review-030,597427694,False,0.9015891480966369,300,True,0.9562747279663841,116,False,0.8404840417584456,300
act-review-031,329945082,False,0.7233418326752385,300,True,0.9551482742291786,160,True,0.9525056364806308,158
act-review-032,132484286,True,0.9558834156217665,108,False,0.34866974867231976,300,True,0.957604412690045,120
act-review-033,1115728452,True,0.951556177017695,185,False,0.7925939757728035,300,False,0.9253491720735137,300
act-review-034,427230268,False,0.8483968177937501,300,False,0.9180355652999038,300,False,0.8792736506080008,300
act-review-035,762854569,False,0.43562527322158073,300,False,0.5630443896912487,300,False,0.9456176700539927,300
act-review-036,354430773,False,0.8877811800123597,300,False,0.5446509542236201,300,True,0.9789846861746966,214
act-review-037,274590355,False,0.003646987300033419,300,False,0.0,300,False,0.0,300
act-review-038,252283498,True,0.9585440960972146,68,True,0.962406087600803,66,True,0.9755415686492834,66
act-review-039,1460038172,True,0.9566971127821651,153,False,0.8785320863132355,300,True,0.9547048313064406,147
act-review-040,446895500,True,0.96814190223143,89,False,0.9455190858514397,300,True,0.9594270289220052,134
act-review-041,1834272064,False,0.9203990197801669,300,False,0.36789356583912736,300,False,0.8339914240933646,300
act-review-042,315951184,False,0.06645997966232839,300,False,0.06645997966232839,300,False,0.06645997966232839,300
act-review-043,1289238206,False,0.0,300,False,0.0,300,False,0.0,300
act-review-044,840213459,False,0.0,300,True,0.9720260033570194,154,False,0.0,300
act-review-045,1664068649,True,0.9593087530624776,154,False,0.9244047949181811,300,True,0.9814076167113589,106
act-review-046,436382411,False,0.0,300,False,0.0,300,False,0.0,300
act-review-047,358554865,True,0.9629437892595064,155,True,0.9694540045799146,150,False,0.3615524917605491,300
act-review-048,344310330,True,0.9504592304971491,180,False,0.0,300,False,0.0,300
act-review-049,1696090653,False,0.9118194750178603,300,True,0.9649844722416188,149,True,0.9720555898265932,116
